truncated_label,full_label
N-Acetyl-Dl-Aspar...,N-Acetyl-Dl-Aspartic Acid
1-O-Octadecyl-Sn-...,1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine
Spectral Match To...,"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14"
Dl-Dipalmitoylpho...,Dl-Dipalmitoylphosphatidylcholine
"1,2-Didecanoyl-Sn...","1,2-Didecanoyl-Sn-Glycero-3-Phosphocholine"
Spectral Match To...,Spectral Match To 1-Myristoyl-Sn-Glycero-3-Phosphocholine From Nist14
1-Linoleoyl-Sn-Gl...,1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine
2-(5-Oxovaleryl)P...,2-(5-Oxovaleryl)Phosphatidylcholine
Acetyl-Β-Methylch...,Acetyl-Β-Methylcholine
N-Methylglutamic ...,N-Methylglutamic Acid
2-Oleoyl-1-Palmit...,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine
Adenosine 5'-Mono...,Adenosine 5'-Monophosphate
1-Palmitoyl-2-Aze...,1-Palmitoyl-2-Azelaoylphosphatidylcholine
L-Tyrosine Methyl...,L-Tyrosine Methyl Ester
"1,2-Diarachidonoy...","1,2-Diarachidonoyl-Sn-Glycero-3-Phosphocholine"
Spectral Match To...,"Spectral Match To 1-Heptadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine From Nist14"
N-Lauroyl-D-Eryth...,N-Lauroyl-D-Erythro-Sphingosylphosphorylcholine
1-Hexadecyl-2-(9z...,1-Hexadecyl-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine
"1,2-Dipalmitoleoy...","1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine"
"1-(5z,8z,11z,14z-...","1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine"
1-Pentadecanoyl-S...,1-Pentadecanoyl-Sn-Glycero-3-Phosphocholine
"1,2-Di-(9z,12z,15...","1,2-Di-(9z,12z,15z-Octadecatrienoyl)-Sn-Glycero-3-Phosphocholine"
"1,2-Didocosahexae...","1,2-Didocosahexaenoyl-Sn-Glycero-3-Phosphocholine"
"1,2-Ditetradecano...","1,2-Ditetradecanoyl-Sn-Glycero-3-Phosphocholine"
1-Hexadecyl-Sn-Gl...,1-Hexadecyl-Sn-Glycero-3-Phosphocholine
Cyclic Adenosine ...,Cyclic Adenosine Diphosphate Ribose
N-(Octadecanoyl)S...,N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine
"1,2-Dipentadecano...","1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine"
1-(1z-Octadecenyl...,"1-(1z-Octadecenyl)-2-(4z,7z,10z,13z,16z,19z-Docosahexaenoyl)-Sn-Glycero-3-Phosphocholine"
1-Hexadecanoyl-2-...,1-Hexadecanoyl-2-(14-Pentadecenoyl)-Sn-Glycero-3-Phosphocholine
N6-Succinyladenos...,N6-Succinyladenosine; Lc-Tdda; Ce10
"1,2-Dioleoyl-Sn-G...","1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine"
N6-Threonylcarbam...,N6-Threonylcarbamoyladenosine
1-Stearoyl-2-Doco...,1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine
Cytidine 5'-Dipho...,Cytidine 5'-Diphosphocholine
1-Palmitoyl-2-Ste...,1-Palmitoyl-2-Stearoyl-Sn-Glycero-3-Phosphocholine
1-Palmitoyl-Sn-Gl...,1-Palmitoyl-Sn-Glycero-3-Phosphocholine
Glycerophosphocho...,Glycerophosphocholine
N-Oleoyl-D-Erythr...,N-Oleoyl-D-Erythro-Sphingosylphosphorylcholine
1-Octadecanoyl-2-...,1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine
L-Γ-Glutamyl-L-Gl...,L-Γ-Glutamyl-L-Glutamic Acid
N-Acetylaspartic ...,N-Acetylaspartic Acid
Adenosine Triphos...,Adenosine Triphosphate (Atp)
N-Acetyl-Dl-Gluta...,N-Acetyl-Dl-Glutamic Acid
N-Acetyl-1-Aspart...,N-Acetyl-1-Aspartylglutamic Acid
Spectral Match To...,Spectral Match To 1-(1z-Hexadecenyl)-Sn-Glycero-3-Phosphocholine From Nist14
1-(1z-Octadecenyl...,1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine
1-Palmitoyl-2-Lin...,1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine
1-Hexadecyl-2-(5z...,"1-Hexadecyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine"
Adenosine Diphosp...,Adenosine Diphosphate (Adp)
Palmitoyleicosape...,Palmitoyleicosapentaenoyl Phosphatidylcholine
Spectral Match To...,Spectral Match To 1-(9z-Octadecenoyl)-2-Tetradecanoyl-Sn-Glycero-3-Phosphocholine From Nist14
"1,2-Di-(9z-Tetrad...","1,2-Di-(9z-Tetradecenoyl)-Sn-Glycero-3-Phosphocholine"
1-Hexadecanoyl-2-...,"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine"
5'-S-Methyl-5'-Th...,5'-S-Methyl-5'-Thioadenosine
1-Stearoyl-2-Arac...,1-Stearoyl-2-Arachidonyl-Sn-Glycero-3-Phosphocholine
1-Myristoyl-Sn-Gl...,1-Myristoyl-Sn-Glycero-3-Phosphocholine
1-Palmitoyl-2-Doc...,1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine
1-Oleoyl-Sn-Glyce...,1-Oleoyl-Sn-Glycero-3-Phosphocholine
Υ-L-Glutamyl-L-Gl...,Υ-L-Glutamyl-L-Glutamic Acid
Spectral Match To...,Spectral Match To 1-Octadecanoyl-Sn-Glycero-3-Phosphocholine From Nist14
